msec,Exper,T5Diamond,T5DiamondMask,T5DiamondPseudo,T5Mask,T5Pseudomask,T5Square,T5SquareMask,T5SquarePseudomask,OzDiamond,OzDiamondMask,OzDiamondPseudo,OzMask,OzPseudomask,OzSquare,OzSquareMask,OzSquarePseudo,T5Mask_T5SquareMask,T5Pseudomask_T5SquarePseudomask,T5Mask_T5DiamondMask,T5Pseudomask_T5DiamondPseudo,OzMask_OzSquareMask,OzPseudomask_OzSquarePseudo,OzMask_OzDiamondMask,OzPseudomask_OzDiamondPseudo
440,1,.0465767,-.0591236,-.113209,.0645329,.315883,.424299,.0215654,-.0374837,.0887957,.7491,.740196,.296745,-.0424834,-.0409774,.683091,.993382,.0429675,.3533667,.1236565,.429092,-.386346,-1.0358654,-.452355,-.7826794
445,1,-.0142772,-.128948,-.241844,-.0430989,.225994,.316841,-.101104,-.184442,.0486242,.6763,.647712,.251138,-.0726079,-.119766,.583892,.822346,.0580051,.410436,.0858491,.467838,-.332754,-.8949539,-.425162,-.7203199
450,1,-.0499107,-.170286,-.349748,-.113746,.177051,.232907,-.203697,-.310564,.0280422,.623582,.551517,.224738,-.0774502,-.180109,.486652,.650484,.089951,.487615,.05654,.526799,-.261914,-.7279342,-.398844,-.6289672
455,1,-.0555968,-.177782,-.428628,-.143096,.174013,.17982,-.278668,-.406472,.0324651,.597645,.457302,.22304,-.0531321,-.213822,.396724,.487665,.135572,.580485,.034686,.602641,-.173684,-.5407971,-.374605,-.5104341
460,1,-.0284875,-.147953,-.471566,-.129651,.217602,.162982,-.319694,-.464189,.0652862,.602804,.370627,.249327,.00158284,-.215123,.318789,.3433,.190043,.681791,.018302,.689168,-.069462,-.34171716,-.353477,-.36904416
465,1,.0320104,-.0794747,-.473599,-.074804,.304297,.185427,-.322205,-.477779,.127536,.640494,.296465,.304378,.0851107,-.181215,.256495,.225676,.247401,.782076,.00467070000000001,.777896,.047883,-.1405653,-.336116,-.2113543
470,1,.124109,.0266943,-.432174,.0173382,.426794,.24755,-.283807,-.443856,.21775,.709067,.238803,.386402,.193123,-.112596,.212213,.141314,.3011452,.87065,-.0093561,.858968,.174189,.051809,-.322665,-.04568
475,1,.243766,.167339,-.347414,.140339,.574954,.347037,-.204537,-.361912,.332056,.803906,.200346,.491196,.318884,-.0130324,.18692,.0944198,.344876,.936866,-.027,.922368,.304276,.2244642,-.31271,.118538
480,1,.385056,.33721,-.222169,.286017,.737042,.479017,-.086934,-.234436,.464494,.917866,.182362,.612554,.453821,.110806,.180241,.0864854,.372951,.971478,-.051193,.959211,.432313,.3673356,-.305312,.271459
485,1,.540751,.52937,-.0618492,.445153,.901108,.63641,.064112,-.0667977,.607526,1.042,.184682,.742842,.588318,.250014,.190638,.116128,.381041,.9679057,-.084217,.9629572,.552204,.47219,-.299158,.403636
490,1,.702966,.735649,.12595,.608252,1.05628,.810459,.241684,.133083,.752682,1.16645,.205823,.873705,.712597,.394331,.215712,.179167,.366568,.923197,-.127397,.93033,.657993,.53343,-.292745,.506774
495,1,.863834,.947154,.33199,.766289,1.19373,.991408,.437334,.355263,.891281,1.28148,.243251,.996839,.817636,.533169,.252582,.269017,.328955,.838467,-.180865,.86174,.744257,.548619,-.284641,.574385
500,1,1.01611,1.15478,.546051,.911373,1.30731,1.16928,.641704,.588458,1.01518,1.37846,.293704,1.10476,.896072,.656655,.298298,.377349,.269669,.718852,-.243407,.761259,.806462,.518723,-.2737,.602368
505,1,1.15362,1.3497,.757652,1.03725,1.39377,1.33467,.845195,.820823,1.11742,1.4507,.353557,1.19145,.942908,.756584,.350211,.494982,.192055,.572947,-.31245,.636118,.841239,.447926,-.25925,.589351
510,1,1.27158,1.52381,.956754,1.13964,1.45254,1.4795,1.03863,1.04075,1.19281,1.49409,.419159,1.25288,.956042,.827168,.406259,.612849,.10101,.41179,-.38417,.495786,.846621,.343193,-.24121,.536883
515,1,1.36666,1.67008,1.13439,1.21631,1.4853,1.59761,1.21385,1.23764,1.23824,1.50742,.487131,1.28727,.936494,.865513,.465126,.722933,.00245999999999991,.24766,-.45377,.35091,.822144,.213561,-.22015,.449363
520,1,1.43705,1.78287,1.28318,1.267,1.49541,1.68514,1.36421,1.40258,1.25289,1.49234,.554557,1.29507,.888224,.871767,.526254,.819008,-.09721,.09283,-.51587,.21223,.768816,.0692159999999998,-.19727,.333667
525,1,1.48224,1.85815,1.39769,1.29314,1.4871,1.74065,1.48484,1.52881,1.23813,1.45305,.619076,1.27879,.817596,.848924,.589681,.897057,-.1917,-.0417099999999999,-.56501,.08941,.689109,-.0794610000000001,-.17426,.19852
530,1,1.50285,1.89366,1.4746,1.29747,1.46493,1.76498,1.57285,1.61207,1.19726,1.39562,.678874,1.24247,.732541,.802345,.655766,.955368,-.27538,-.14714,-.59619,-.00967000000000007,.586704,-.222827,-.15315,.053667
535,1,1.50043,1.88899,1.51269,1.2835,1.43317,1.76087,1.62725,1.65073,1.13512,1.32728,.732599,1.19117,.641544,.739042,.724832,.994305,-.34375,-.21756,-.60549,-.0795200000000003,.466338,-.352761,-.13611,-.091055
540,1,1.47716,1.84557,1.51274,1.2551,1.39551,1.73244,1.64875,1.64564,1.05746,1.25541,.779209,1.13023,.552559,.666818,.796776,1.01583,-.39365,-.25013,-.59047,-.11723,.333454,-.463271,-.12518,-.22665
545,1,1.4357,1.76654,1.47722,1.21601,1.35484,1.68455,1.63944,1.59994,.97039,1.18677,.817821,1.06471,.472111,.59338,.870722,1.02291,-.42343,-.2451,-.55053,-.12238,.193988,-.550799,-.12206,-.34571
550,1,1.379,1.65653,1.41,1.16952,1.31318,1.62224,1.60245,1.51859,.879784,1.12676,.847598,.998875,.404658,.525537,.944798,1.01892,-.43293,-.20541,-.48701,-.0968199999999999,.0540769999999999,-.614262,-.127885,-.44294
555,1,1.31012,1.52135,1.31594,1.11826,1.27182,1.55018,1.54149,1.4079,.790739,1.07891,.867686,.935842,.352315,.468553,1.01605,1.00713,-.42323,-.13608,-.40309,-.0441199999999997,-.080208,-.654815,-.143068,-.515371
560,1,1.23217,1.36757,1.20058,1.06414,1.23146,1.47241,1.4605,1.27503,.707185,1.04469,.877246,.877482,.315046,.425744,1.08058,.990309,-.39636,-.0435699999999999,-.30343,.03088,-.203098,-.675263,-.167208,-.5622
565,1,1.14816,1.20208,1.06976,1.00845,1.1924,1.39214,1.36339,1.12739,.631652,1.02359,.875582,.824508,.291122,.398347,1.13381,.970581,-.35494,.0650100000000002,-.19363,.12264,-.309302,-.679459,-.199082,-.58446
570,1,1.06092,1.03172,.929442,.951974,1.15482,1.31175,1.25381,.972292,.565203,1.01352,.862341,.776716,.27785,.38565,1.17102,.949378,-.301836,.182528,-.0797459999999999,.225378,-.394304,-.671528,-.236804,-.584491
575,1,.973056,.862866,.785449,.895313,1.11888,1.23296,1.1351,.81649,.507541,1.01134,.837748,.733356,.272311,.385341,1.18793,.927552,-.239787,.30239,.032447,.333431,-.454574,-.655241,-.277984,-.565437
580,1,.886861,.701217,.643363,.839088,1.08494,1.157,1.01029,.665977,.457253,1.01355,.802844,.693544,.271964,.394026,1.18132,.905578,-.171202,.418963,.137871,.441577,-.487776,-.633614,-.320006,-.53088
585,1,.804279,.551621,.508415,.784193,1.05361,1.08483,.882207,.525821,.412169,1.01706,.759684,.656658,.275045,.407836,1.14959,.883781,-.0980139999999999,.527789,.232572,.545195,-.492932,-.608736,-.360402,-.484639
590,1,.726893,.418043,.385408,.731943,1.02574,1.0173,.75364,.400117,.369774,1.0197,.711416,.622626,.280665,.423006,1.09325,.862619,-.0216970000000001,.625623,.3139,.640332,-.470624,-.581954,-.397074,-.430751
595,1,.655922,.303598,.278636,.684119,1.00244,.955254,.627454,.292011,.327612,1.02072,.662233,.592078,.288684,.436384,1.01512,.842896,.0566649999999999,.710429,.380521,.723804,-.423042,-.554212,-.428642,-.373549
600,1,.592263,.210644,.191797,.642916,.985021,.899524,.50671,.203784,.283662,1.02096,.617177,.566343,.299456,.445781,.920308,.82592,.136206,.781237,.432272,.793224,-.353965,-.526464,-.454617,-.317721
605,1,.536545,.140869,.127869,.610756,.974913,.85088,.394702,.136947,.236605,1.02274,.581762,.547255,.313506,.450136,.815905,.813568,.216054,.837966,.469887,.847044,-.26865,-.500062,-.475485,-.268256
610,1,.489183,.0953429,.0889634,.590027,.973569,.8099,.2949,.0923314,.185969,1.02954,.561473,.536826,.331175,.449474,.710405,.808222,.295127,.8812376,.4946841,.8846056,-.173579,-.477047,-.492714,-.230298
615,1,.450437,.0745303,.0761778,.582777,.982332,.776865,.210803,.0701631,.132152,1.04545,.561198,.536829,.352461,.444703,.61293,.812536,.371974,.9121689,.5082467,.9061542,-.076101,-.460075,-.508621,-.208737
620,1,.420441,.0782554,.0894638,.5904,1.00225,.751684,.14571,.0701038,.0763233,1.0745,.584641,.548371,.3769,.437286,.532338,.82916,.44469,.9321462,.5121446,.9127862,.0160330000000001,-.45226,-.526129,-.207741
625,1,.399184,.105632,.127537,.613372,1.03388,.733864,.102445,.0912635,.0202117,1.11996,.633801,.571505,.403615,.428834,.476298,.860315,.510927,.9426165,.50774,.906343,.095207,-.4567,-.548455,-.230186
630,1,.386456,.155002,.187855,.651075,1.0771,.722559,.0830688,.1322,-.0341668,1.18371,.708585,.60499,.431455,.420711,.450485,.907369,.5680062,.9449,.496073,.889245,.154505,-.475914,-.57872,-.27713
635,1,.381776,.223895,.266702,.701741,1.13098,.7167,.0886251,.190913,-.0848076,1.2658,.806627,.646233,.459196,.413705,.457953,.970464,.6131159,.940067,.477846,.864278,.18828,-.511268,-.619567,-.347431
640,1,.384299,.309035,.359355,.762528,1.19372,.715128,.118953,.264843,-.130013,1.36418,.923322,.691437,.485727,.4078,.498783,1.04824,.643575,.928877,.453493,.834365,.192654,-.562513,-.672743,-.437595
645,1,.392755,.406396,.460362,.829732,1.26275,.71676,.172589,.350909,-.16863,1.47479,1.05212,.735947,.510153,.402099,.57003,1.13772,.657143,.911841,.423336,.802388,.165917,-.627567,-.738843,-.541967
650,1,.405458,.511342,.563907,.899106,1.33491,.720706,.246804,.445581,-.200201,1.59183,1.18502,.774774,.531852,.394909,.666024,1.23446,.652302,.889329,.387764,.771003,.10875,-.702608,-.817056,-.653168
655,1,.420394,.618834,.664233,.966261,1.40669,.72634,.337755,.545008,-.225006,1.7083,1.31331,.80319,.550431,.383958,.77894,1.33282,.628506,.861682,.347427,.742457,.02425,-.782389,-.90511,-.762879
660,1,.435384,.723688,.756074,1.02709,1.47464,.733299,.440745,.645176,-.244017,1.8167,1.42832,.817342,.565589,.3667,.899599,1.4265,.586345,.829464,.303402,.718566,-.082257,-.860911,-.999358,-.862731
665,1,.448315,.820887,.835066,1.07818,1.53565,.741438,.550576,.742105,-.258746,1.90982,1.52226,.814786,.577018,.340693,1.01841,1.5092,.527604,.793545,.257293,.700584,-.203624,-.932182,-1.095034,-.945242
670,1,.4574,.905913,.898073,1.11716,1.58732,.750739,.66194,.832058,-.271025,1.98145,1.58897,.794835,.584317,.30396,1.12633,1.57525,.45522,.755262,.211247,.689247,-.331495,-.990933,-1.186615,-1.004653
675,1,.461388,.975065,.943385,1.1429,1.62815,.761198,.769784,.911749,-.28275,2.02706,1.62445,.758695,.586967,.255291,1.21566,1.62032,.373116,.716401,.167835,.684765,-.456965,-1.033353,-1.268365,-1.037483
680,1,.459723,1.02576,.9708,1.15559,1.65759,.772714,.86966,.978518,-.295625,2.04419,1.62724,.709342,.584377,.194451,1.28079,1.64186,.28593,.679072,.12983,.68679,-.571448,-1.057483,-1.334848,-1.042863
685,1,.452599,1.05676,.981541,1.1567,1.67603,.785015,.957982,1.03047,-.310935,2.03272,1.59848,.65119,.576065,.122253,1.31856,1.63944,.198718,.64556,.0999399999999999,.694489,-.66737,-1.063375,-1.38153,-1.022415
690,1,.440906,1.06829,.978036,1.14876,1.68462,.79762,1.03219,1.06654,-.329387,1.99474,1.54178,.589562,.561856,.0404953,1.32839,1.61473,.11657,.61808,.08047,.706584,-.738828,-1.052874,-1.405178,-.979924
695,1,.426053,1.06204,.963587,1.13501,1.68507,.809846,1.0908,1.08653,-.351052,1.93434,1.46273,.530046,.542022,-.0482378,1.31215,1.57122,.0442100000000001,.59854,.07297,.721483,-.782104,-1.029198,-1.404294,-.920708
700,1,.409754,1.04104,.941954,1.11902,1.67934,.820874,1.13337,1.091,-.375376,1.85703,1.36831,.477849,.51737,-.140866,1.27375,1.51374,-.0143499999999999,.58834,.0779800000000002,.737386,-.795901,-.99637,-1.379181,-.85094
705,1,.393776,1.0093,.916919,1.10428,1.66938,.829835,1.16035,1.08125,-.40129,1.76914,1.26615,.437198,.489197,-.234168,1.21851,1.44778,-.0560700000000001,.58813,.0949800000000001,.752461,-.781312,-.958583,-1.331942,-.776953
710,1,.379705,.97148,.891864,1.09375,1.65686,.835922,1.17289,1.05908,-.427391,1.67717,1.16376,.410881,.459061,-.325152,1.15252,1.37873,-.07914,.59778,.12227,.764996,-.741639,-.919669,-1.266289,-.704699
715,1,.368774,.932334,.869429,1.0896,1.64303,.838497,1.17265,1.02672,-.452157,1.58708,1.06779,.399991,.428547,-.411376,1.0819,1.31123,-.0830500000000001,.61631,.157266,.773601,-.681909,-.882683,-1.187089,-.639243
720,1,.36176,.896257,.85128,1.09292,1.62857,.83718,1.16151,.986626,-.474179,1.50379,.983484,.403893,.399011,-.491191,1.01219,1.24868,-.0685900000000002,.641944,.196663,.77729,-.608297,-.849669,-1.099897,-.584473
725,1,.358943,.866805,.837999,1.1037,1.61363,.831881,1.14149,.941317,-.492387,1.43076,.914267,.420387,.371341,-.563889,.947855,1.19301,-.0377900000000002,.672313,.236895,.775631,-.527468,-.821669,-1.010373,-.542926
730,1,.360116,.846363,.829128,1.12082,1.59793,.822807,1.11453,.893288,-.50622,1.36985,.861562,.446066,.345948,-.629713,.892,1.14468,.00628999999999991,.704642,.274457,.768802,-.445934,-.798732,-.923784,-.515614
735,1,.364648,.835959,.823345,1.14225,1.58092,.810411,1.08245,.844917,-.515729,1.3213,.824863,.476784,.322867,-.689753,.846272,1.10296,.0597999999999999,.736003,.306291,.757575,-.369488,-.780093,-.844516,-.501996
740,1,.371561,.83526,.818735,1.16537,1.56199,.795308,1.04692,.798415,-.521607,1.28396,.801985,.508155,.301983,-.745752,.810958,1.06638,.11845,.763575,.33011,.743255,-.302803,-.764397,-.775805,-.500002
745,1,.379621,.842751,.813133,1.18724,1.54077,.778165,1.00946,.755799,-.525134,1.25568,.789494,.536047,.283365,-.799824,.785234,1.03322,.17778,.784971,.344489,.727637,-.249187,-.749855,-.719633,-.506129
750,1,.387441,.856076,.80449,1.20501,1.51732,.759602,.971486,.718894,-.528051,1.2337,.783239,.556983,.267513,-.854144,.767516,1.00197,.233524,.798426,.348934,.71283,-.210533,-.734457,-.676717,-.515726
755,1,.3936,.872478,.791211,1.21622,1.49233,.740118,.934345,.689322,-.532388,1.21518,.778909,.568421,.255464,-.910644,.755857,.971709,.281875,.803008,.343742,.701119,-.187436,-.716245,-.646759,-.523445
760,1,.396757,.88926,.772418,1.2191,1.46702,.720047,.899342,.668492,-.540265,1.19764,.772557,.568887,.248681,-.970766,.748305,.942199,.319758,.798528,.32984,.694602,-.179418,-.693518,-.628753,-.523876
765,1,.39578,.9042,.748125,1.21272,1.44303,.699595,.867745,.657571,-.553676,1.17929,.761039,.557986,.248739,-1.03527,.743214,.913935,.344975,.785459,.30852,.694905,-.185228,-.665196,-.621304,-.5123
770,1,.389859,.915865,.719283,1.19706,1.42211,.678895,.840754,.657437,-.574298,1.15928,.74232,.536299,.256846,-1.10415,.739437,.887962,.356306,.764673,.281195,.702827,-.203138,-.631116,-.622981,-.485474
775,1,.378586,.923744,.687707,1.17298,1.40569,.658086,.819438,.668598,-.603339,1.13771,.715615,.505202,.27335,-1.17662,.736401,.865599,.353542,.737092,.249236,.717983,-.231199,-.592249,-.632508,-.442265
780,1,.361982,.928232,.655888,1.14202,1.39457,.637372,.80467,.691127,-.641442,1.11559,.681368,.466649,.297317,-1.25125,.734075,.848203,.33735,.703443,.213788,.738682,-.267426,-.550886,-.648941,-.384051
785,1,.340484,.930444,.62672,1.10622,1.38863,.617062,.797044,.724584,-.688638,1.09459,.641098,.422937,.326389,-1.32611,.732841,.836865,.309176,.664046,.175776,.76191,-.309904,-.510476,-.671653,-.314709
790,1,.314855,.931908,.603166,1.06782,1.38678,.597542,.79681,.767968,-.744364,1.0767,.597103,.376458,.356908,-1.39901,.733297,.832212,.27101,.618812,.135912,.783614,-.356839,-.475304,-.700242,-.240195
795,1,.286061,.934212,.587913,1.02899,1.38707,.579211,.803819,.819694,-.807543,1.06384,.552115,.329459,.384377,-1.46772,.736038,.834274,.225171,.567376,.0947779999999998,.799157,-.406579,-.449897,-.734381,-.167738
800,1,.255135,.93866,.583063,.991594,1.38699,.56238,.817524,.87763,-.87668,1.05754,.508923,.283824,.404083,-1.53024,.741459,.842401,.17407,.50936,.0529339999999999,.803927,-.457635,-.438318,-.773716,-.10484
805,1,.223057,.946,.589888,.956974,1.38394,.547175,.837011,.939193,-.949997,1.05855,.470024,.240874,.411804,-1.58491,.749608,.855266,.119963,.444747,.010974,.794052,-.508734,-.443462,-.817676,-.0582199999999999
810,1,.19067,.956275,.608677,.92585,1.37558,.533429,.861077,1.0015,-1.02557,1.06665,.437329,.201209,.404431,-1.63063,.760094,.870917,.064773,.37408,-.030425,.766903,-.558885,-.466486,-.865441,-.032898
815,1,.158659,.968792,.6387,.898288,1.36032,.520656,.888334,1.06157,-1.10148,1.08055,.411977,.164665,.380414,-1.66682,.772094,.886909,.00995400000000013,.29875,-.0705039999999998,.72162,-.607429,-.506495,-.915885,-.031563
820,1,.127577,.982239,.678278,.873765,1.33741,.508058,.917335,1.11655,-1.17585,1.09794,.394257,.130293,.339912,-1.69346,.784417,.900482,-.0435700000000001,.22086,-.108474,.659132,-.654124,-.56057,-.967647,-.054345
825,1,.0978969,.994882,.724953,.851293,1.30702,.494608,.946697,1.16395,-1.247,1.11568,.383634,.0964915,.284617,-1.71099,.79563,.908804,-.095404,.14307,-.143589,.582067,-.6991385,-.624187,-1.0191885,-.099017
830,1,.0700538,1.00483,.775743,.829611,1.27002,.479194,.975209,1.20188,-1.31344,1.13008,.378882,.0612339,.217388,-1.72021,.804222,.909245,-.145598,.0681399999999999,-.175219,.494277,-.7429881,-.691857,-1.0688461,-.161494
835,1,.0444831,1.01032,.827449,.807395,1.22777,.460805,1.00192,1.22919,-1.3739,1.13735,.378298,.0223768,.141749,-1.72209,.808786,.8997,-.194525,-.00141999999999998,-.202925,.400321,-.7864092,-.757951,-1.1149732,-.236549
840,1,.0216093,1.00998,.876965,.783463,1.18176,.4387,1.02619,1.24559,-1.42733,1.13399,.379942,-.0220222,.0613738,-1.71766,.808166,.878864,-.242727,-.0638300000000001,-.226517,.304795,-.8301882,-.8174902,-1.1560122,-.3185682
845,1,.00179818,1.00302,.921568,.756942,1.13348,.412561,1.04766,1.25167,-1.47288,1.11721,.381909,-.0733757,-.0202169,-1.70787,.801572,.846472,-.290718,-.11819,-.246078,.211912,-.8749477,-.8666889,-1.1905857,-.4021259
850,1,-.0146862,.989323,.959155,.727418,1.08431,.382579,1.06622,1.24884,-1.50983,1.08528,.382561,-.132306,-.0998124,-1.69353,.78865,.803431,-.338802,-.16453,-.261905,.125155,-.920956,-.9032434,-1.217586,-.4823734
855,1,-.0277295,.96953,.988389,.694991,1.0355,.349474,1.08196,1.23912,-1.53765,1.03777,.380711,-.198475,-.174582,-1.67522,.76948,.751798,-.386969,-.20362,-.274539,.0471109999999999,-.967955,-.92638,-1.236245,-.555293
860,1,-.0373809,.944947,1.00875,.660278,.988212,.31444,1.09501,1.22498,-1.55593,.975694,.375721,-.270541,-.242006,-1.65337,.744526,.694621,-.434732,-.236768,-.284669,-.0205380000000001,-1.015067,-.936627,-1.246235,-.617727
865,1,-.0438145,.917447,1.02048,.624342,.943621,.279046,1.10549,1.20906,-1.56441,.901393,.367526,-.346231,-.29987,-1.62832,.71454,.63566,-.481148,-.265439,-.293105,-.076859,-1.060771,-.93553,-1.247624,-.667396
870,1,-.0472477,.889294,1.02449,.588574,.902875,.245059,1.11343,1.19383,-1.56303,.818391,.35658,-.422527,-.346377,-1.60038,.680445,.578981,-.524856,-.290955,-.30072,-.121615,-1.102972,-.925358,-1.240918,-.702957
875,1,-.0478525,.862918,1.02212,.554526,.866998,.214248,1.11864,1.18143,-1.55202,.731037,.343703,-.495958,-.380371,-1.56999,.643199,.528542,-.564114,-.314432,-.308392,-.155122,-1.139157,-.908913,-1.226995,-.724074
880,1,-.0456682,.840676,1.01493,.523737,.836724,.188174,1.12079,1.17336,-1.53188,.644076,.329904,-.562943,-.401631,-1.53779,.603676,.487773,-.597053,-.336636,-.316939,-.178206,-1.166619,-.889404,-1.207019,-.731535
885,1,-.0405543,.824588,1.00445,.497559,.812301,.168011,1.11934,1.17043,-1.50351,.562185,.316175,-.62017,-.411221,-1.50475,.562567,.459235,-.621781,-.358129,-.327029,-.192149,-1.182737,-.870456,-1.182355,-.727396
890,1,-.0322153,.816117,.99202,.476997,.793295,.154381,1.11368,1.17266,-1.46822,.489506,.303282,-.664992,-.411687,-1.47218,.520312,.444383,-.636683,-.379365,-.33912,-.198725,-1.185304,-.85607,-1.154498,-.714969
895,1,-.0202881,.815955,.978577,.462585,.778514,.147261,1.10317,1.17933,-1.42775,.429228,.291613,-.695788,-.407067,-1.44172,.477073,.443466,-.640585,-.400816,-.35337,-.200063,-1.172861,-.850533,-1.125016,-.69868
900,1,-.00447121,.823911,.964628,.454305,.766095,.145948,1.08726,1.18909,-1.38427,.383297,.281076,-.712235,-.402596,-1.41529,.432767,.455558,-.632955,-.422995,-.369606,-.198533,-1.145002,-.858154,-1.095532,-.683672
905,1,.0153222,.838862,.950233,.451567,.753709,.149123,1.06564,1.20017,-1.34027,.352241,.271075,-.715483,-.404202,-1.39493,.38712,.478696,-.614073,-.446461,-.387295,-.196524,-1.102603,-.882898,-1.067724,-.675277
